relation id: P276	rank: 0.3859663468224168	percentage: 5860.0/8705
relation id: P1343	rank: 0.413388810098307	percentage: 2346.0/8705
relation id: P1552	rank: 0.3639172617996148	percentage: 208.0/8705
relation id: P186	rank: 0.3169284303544887	percentage: 8.0/8705
relation id: P5008	rank: 0.39148633834283897	percentage: 3591.0/8705
relation id: P31	rank: 0.37235899514025156	percentage: 21.0/8705
relation id: P1441	rank: 0.4317130262957897	percentage: 1729.0/8705
relation id: P1889	rank: 0.27613608558374186	percentage: 3347.0/8705
relation id: P279	rank: 0.27878791785360285	percentage: 1584.0/8705
relation id: P910	rank: 0.21768314105303116	percentage: 4.0/8705
relation id: P122	rank: 0.42467060898433445	percentage: 2903.0/8705
relation id: P163	rank: 0.4717283950617284	percentage: 1573.0/8705
relation id: P47	rank: 0.3405825708061002	percentage: 4008.0/8705
relation id: P30	rank: 0.42375300997592025	percentage: 421.0/8705
relation id: P17	rank: 0.4534921356076304	percentage: 3133.0/8705
relation id: P140	rank: 0.39467225537558015	percentage: 4086.0/8705
relation id: P190	rank: 0.1972895718181505	percentage: 6218.0/8705
relation id: P463	rank: 0.42187086343309255	percentage: 1972.5/8705
relation id: P206	rank: 0.34465750895461755	percentage: 2326.0/8705
relation id: P460	rank: 0.28721533057667514	percentage: 872.0/8705
relation id: P1424	rank: 0.24808381391772402	percentage: 921.0/8705
relation id: P2936	rank: 0.4295081385380663	percentage: 2303.0/8705
relation id: P1465	rank: 0.29401742919389967	percentage: 1720.0/8705
relation id: P8744	rank: 0.38172113289760357	percentage: 3542.0/8705
relation id: P610	rank: 0.5305755850727388	percentage: 7446.0/8705
relation id: P194	rank: 0.2856831621537504	percentage: 4094.0/8705
relation id: P7867	rank: 0.4900123653064829	percentage: 5691.0/8705
relation id: P1365	rank: 0.36674985145573386	percentage: 1809.0/8705
relation id: P6	rank: 0.5578688849277084	percentage: 5183.0/8705
relation id: P361	rank: 0.311302571753339	percentage: 5830.0/8705
relation id: P1740	rank: 0.38990196078431366	percentage: 5117.0/8705
relation id: P150	rank: 0.24004750919975837	percentage: 330.0/8705
relation id: P1464	rank: 0.40824123588829464	percentage: 191.0/8705
relation id: P1792	rank: 0.36830065359477127	percentage: 2085.0/8705
relation id: P706	rank: 0.4807915758896152	percentage: 4392.0/8705
relation id: P421	rank: 0.45641833341523746	percentage: 3557.0/8705
relation id: P1791	rank: 0.2838707334785766	percentage: 1132.0/8705
relation id: P101	rank: 0.3244326619536704	percentage: 1988.0/8705
relation id: P527	rank: 0.2833568056852372	percentage: 1740.0/8705
relation id: P2670	rank: 0.3154799080125878	percentage: 4.0/8705
relation id: P156	rank: 0.3243174077142593	percentage: 4826.0/8705
relation id: P2184	rank: 0.22546309580742868	percentage: 58.0/8705
relation id: P1582	rank: 0.4117047930283224	percentage: 5151.7/8705
relation id: P462	rank: 0.3647367695320039	percentage: 2553.0/8705
relation id: P3095	rank: 0.27402595434308985	percentage: 7090.0/8705
relation id: P5125	rank: 0.2703783485225075	percentage: 2191.0/8705
relation id: P2283	rank: 0.28565369563463244	percentage: 2205.0/8705
relation id: P1269	rank: 0.33084162895927616	percentage: 1218.0/8705
relation id: P105	rank: 0.4807942303358125	percentage: 3690.0/8705
relation id: P171	rank: 0.17205171923842	percentage: 7.0/8705
relation id: P141	rank: 0.4102483660130719	percentage: 663.0/8705
relation id: P36	rank: 0.42769133459835534	percentage: 6791.0/8705
relation id: P2852	rank: 0.36753865773951855	percentage: 4581.0/8705
relation id: P530	rank: 0.43864010012547305	percentage: 5885.2/8705
relation id: P6104	rank: 0.1738402678144428	percentage: 3939.0/8705
relation id: P793	rank: 0.2810662931839402	percentage: 5608.0/8705
relation id: P1589	rank: 0.5494625998547568	percentage: 6090.0/8705
relation id: P832	rank: 0.472841156664686	percentage: 3701.0/8705
relation id: P2853	rank: 0.45998366013071873	percentage: 2387.0/8705
relation id: P85	rank: 0.4393638344226579	percentage: 5319.0/8705
relation id: P1313	rank: 0.5374737141233304	percentage: 4808.0/8705
relation id: P35	rank: 0.6055971479500891	percentage: 1744.0/8705
relation id: P417	rank: 0.41940023068050747	percentage: 7051.0/8705
relation id: P138	rank: 0.5218721156323938	percentage: 2893.0/8705
relation id: P172	rank: 0.33031279178338	percentage: 2354.0/8705
relation id: P8402	rank: 0.3526470588235295	percentage: 3970.0/8705
relation id: P2633	rank: 0.38225359477124177	percentage: 7505.0/8705
relation id: P1151	rank: 0.18820261437908495	percentage: 3947.0/8705
relation id: P1344	rank: 0.4624529027297193	percentage: 3577.5/8705
relation id: P9241	rank: 0.5014225297962323	percentage: 3344.0/8705
relation id: P38	rank: 0.505406162464986	percentage: 4326.0/8705
relation id: P1056	rank: 0.22837858220211166	percentage: 272.0/8705
relation id: P1830	rank: 0.3530530137981118	percentage: 2357.3/8705
relation id: P452	rank: 0.27584818775995246	percentage: 2949.0/8705
relation id: P127	rank: 0.33921568627450976	percentage: 33.0/8705
relation id: P166	rank: 0.3184065359477124	percentage: 233.0/8705
relation id: P155	rank: 0.30687043444828915	percentage: 1874.0/8705
relation id: P112	rank: 0.4673181114551084	percentage: 4198.0/8705
relation id: P1454	rank: 0.40880900508351486	percentage: 2072.0/8705
relation id: P8989	rank: 0.11214148404459824	percentage: 32.0/8705
relation id: P131	rank: 0.3327664034908042	percentage: 189.0/8705
relation id: P39	rank: 0.27066301595713343	percentage: 3618.7/8705
relation id: P1412	rank: 0.4098410576351752	percentage: 2755.5/8705
relation id: P106	rank: 0.2674667066244256	percentage: 1463.5/8705
relation id: P27	rank: 0.7086304069366438	percentage: 4450.0/8705
relation id: P21	rank: 0.2341358377223597	percentage: 479.0/8705
relation id: P159	rank: 0.5183854818523155	percentage: 2689.0/8705
relation id: P1622	rank: 0.49571078431372556	percentage: 3642.0/8705
relation id: P5658	rank: 0.3203267973856209	percentage: 4362.0/8705
relation id: P740	rank: 0.5709940087145967	percentage: 173.0/8705
relation id: P2596	rank: 0.4309640522875817	percentage: 2604.0/8705
relation id: P136	rank: 0.29931677050287303	percentage: 1186.0/8705
relation id: P1303	rank: 0.251020893603343	percentage: 5659.0/8705
relation id: P19	rank: 0.6545845004668537	percentage: 6419.0/8705
relation id: P2578	rank: 0.30437513813899136	percentage: 1458.0/8705
relation id: P1196	rank: 0.2642712418300654	percentage: 1475.0/8705
relation id: P2341	rank: 0.5267401295359774	percentage: 6888.0/8705
relation id: P282	rank: 0.47503267973856217	percentage: 3525.0/8705
relation id: P2579	rank: 0.2787021991116888	percentage: 3364.0/8705
relation id: P366	rank: 0.28746840958605674	percentage: 3022.7/8705
relation id: P828	rank: 0.32451006328457316	percentage: 39.0/8705
relation id: P461	rank: 0.34895456109078377	percentage: 3169.0/8705
relation id: P1382	rank: 0.2793852676205619	percentage: 3473.0/8705
relation id: P1535	rank: 0.2361902687000726	percentage: 59.0/8705
relation id: P1376	rank: 0.4312127814088599	percentage: 76.0/8705
relation id: P37	rank: 0.4245403050108933	percentage: 1385.0/8705
relation id: P4952	rank: 0.2200076893502499	percentage: 2189.0/8705
relation id: P61	rank: 0.5278692810457517	percentage: 80.0/8705
relation id: P1433	rank: 0.3154509803921569	percentage: 203.0/8705
relation id: P495	rank: 0.6713448065077349	percentage: 4689.0/8705
relation id: P1995	rank: 0.324499591503268	percentage: 1675.0/8705
relation id: P1672	rank: 0.2332412965186074	percentage: 3.0/8705
relation id: P5869	rank: 0.3353622882844895	percentage: 6145.0/8705
relation id: P937	rank: 0.58590789572534	percentage: 5918.0/8705
relation id: P108	rank: 0.32496078431372555	percentage: 3914.0/8705
relation id: P344	rank: 0.372436974789916	percentage: 3532.0/8705
relation id: P437	rank: 0.3164023621144364	percentage: 176.0/8705
relation id: P58	rank: 0.43859284890426753	percentage: 608.0/8705
relation id: P750	rank: 0.38507223942208463	percentage: 1858.5/8705
relation id: P364	rank: 0.33342212356640766	percentage: 2721.0/8705
relation id: P161	rank: 0.31050731403672577	percentage: 1597.0/8705
relation id: P840	rank: 0.5886078431372549	percentage: 20.0/8705
relation id: P921	rank: 0.4387522281639928	percentage: 1732.0/8705
relation id: P86	rank: 0.3362562091503268	percentage: 4366.0/8705
relation id: P57	rank: 0.3524069337880079	percentage: 1071.0/8705
relation id: P264	rank: 0.3817369202109186	percentage: 315.0/8705
relation id: P175	rank: 0.43076420311714425	percentage: 3927.0/8705
relation id: P162	rank: 0.3976510200039612	percentage: 4163.0/8705
relation id: P121	rank: 0.3367675381263616	percentage: 98.0/8705
relation id: A12	rank: 0.4533831310301899	percentage: 6514.0/8705
relation id: P407	rank: 0.2757257788402339	percentage: 929.0/8705
relation id: P272	rank: 0.3171173030615756	percentage: 2818.0/8705
